94,278300.0,21100.0,330200.0,239700.0
95,283700.0,21300.0,336800.0,244500.0
96,288800.0,21300.0,343400.0,249200.0
97,541700.0,36800.0,363100.0,265000.0
98,447600.0,44100.0,662000.0,523100.0
99,308400.0,22700.0,591700.0,521100.0
100,339100.0,24300.0,371400.0,297000.0
101,319200.0,22500.0,378200.0,369700.0
102,324700.0,22900.0,385700.0,495700.0
103,329800.0,22700.0,563200.0,572400.0
104,625300.0,44700.0,770500.0,584900.0
105,658100.0,42700.0,822200.0,613900.0
106,348000.0,23300.0,414400.0,633700.0
107,356600.0,23700.0,422400.0,305800.0
108,358400.0,23300.0,429100.0,311100.0
109,363100.0,23400.0,436500.0,317300.0
110,369100.0,23400.0,444000.0,322700.0
111,397600.0,23500.0,452000.0,327700.0
112,381700.0,23400.0,459500.0,334000.0
113,388600.0,23700.0,467600.0,338800.0
114,394700.0,23700.0,475100.0,440800.0
115,880900.0,49100.0,883200.0,693900.0
116,399300.0,24100.0,478700.0,347700.0
117,402900.0,23900.0,486700.0,352600.0
118,409600.0,23900.0,494500.0,358400.0
119,415100.0,23800.0,502200.0,364200.0
120,493500.0,70600.0,566300.0,371100.0
121,430400.0,24400.0,1062700.0,842700.0
122,463400.0,27700.0,555700.0,404800.0
123,473200.0,25800.0,549800.0,409700.0
124,473300.0,26200.0,577900.0,405200.0
0,100100.0,14800.0,11900.0,10400.0
0,66300.0,16100.0,11400.0,10300.0
25000,26321286200.0,5582700.0,33806400900.0,21904528400.0
