2500,208760300.0,405999000.0,607869700.0,430605800.0
2500,226992200.0,334107400.0,583186100.0,243651500.0
5000,893928500.0,1365559200.0,2434420200.0,1034489000.0
7500,2121566800.0,2657018200.0,5740634700.0,2480256900.0
10000,3876718700.0,4793556800.0,10626473000.0,4933152400.0
12500,5905746200.0,8675975000.0,16395987500.0,6805786400.0
15000,8586349700.0,11456083600.0,23787531100.0,10144186100.0
17500,12239444000.0,15659117600.0,31443823900.0,13704388200.0
20000,16077742900.0,22137669000.0,41618937000.0,17647942400.0
22500,19170070500.0,30341031100.0,53470589900.0,22993682900.0
25000,24402755000.0,31587344500.0,66201615600.0,28941655600.0
125,1332300.0,2188500.0,3613100.0,1924200.0
250,6034000.0,5886500.0,4285800.0,2324600.0
375,4758500.0,5448100.0,10034900.0,5801200.0
500,8375600.0,10177000.0,19088900.0,14310400.0
625,12847200.0,13937300.0,50547700.0,25779100.0
750,22906000.0,32713800.0,58832500.0,29439800.0
875,41663600.0,42115300.0,71808400.0,39003900.0
1000,36433700.0,56714000.0,98801700.0,47008800.0
1125,39691200.0,48073900.0,110880400.0,46058600.0
1250,54624100.0,93361700.0,143910300.0,60125700.0
1375,64547100.0,78402900.0,161028100.0,65824800.0
1500,75766700.0,100599400.0,201354000.0,115419000.0
1625,112569800.0,160247400.0,232734600.0,104865100.0
1750,96693100.0,189527000.0,301759900.0,112673400.0
1875,125486300.0,158902000.0,326243700.0,142425500.0
2000,131314500.0,171907800.0,372323800.0,159842600.0
2125,186745600.0,270240500.0,434812100.0,236419400.0
2250,195977400.0,216623000.0,484559400.0,239179800.0
2375,238406100.0,268205000.0,533541600.0,243001000.0
2,29700.0,14900.0,13200.0,21400.0
3,23300.0,14000.0,12600.0,11100.0
4,16700.0,12000.0,12500.0,11500.0
5,17000.0,11700.0,13100.0,11400.0
6,17200.0,12300.0,14700.0,12400.0
7,17500.0,12900.0,15500.0,12500.0
8,18400.0,13300.0,16700.0,13600.0
9,19200.0,13900.0,25900.0,17700.0
10,20800.0,14800.0,19400.0,15900.0
11,21500.0,15800.0,21800.0,15900.0
12,22200.0,17200.0,24000.0,16900.0
13,21700.0,17700.0,24500.0,16100.0
14,22700.0,18100.0,26100.0,17400.0
15,23700.0,18300.0,27700.0,18500.0
16,25100.0,18700.0,29300.0,19800.0
17,26400.0,19700.0,31500.0,21500.0
18,27600.0,21100.0,34300.0,29600.0
